,2LivingRoomHumidifier_temperature,2LivingRoomHumidifier_humidity,timestamp
103,18.2,28,2022-01-09 00:48:54.388000+01:00
104,18.0,28,2022-01-09 01:05:06.605000+01:00
105,17.85,27,2022-01-09 01:21:19.582000+01:00
106,17.75,28,2022-01-09 01:37:32.839000+01:00
107,17.65,27,2022-01-09 01:53:46.474000+01:00
108,17.45,27,2022-01-09 02:10:00.317000+01:00
109,17.4,28,2022-01-09 02:26:14.387000+01:00
110,17.3,28,2022-01-09 02:42:28.940000+01:00
111,17.15,28,2022-01-09 02:58:44.322000+01:00
112,17.1,28,2022-01-09 03:14:59.635000+01:00
113,16.95,28,2022-01-09 03:31:15.012000+01:00
114,16.85,28,2022-01-09 03:47:30.774000+01:00
115,16.8,29,2022-01-09 04:03:46.755000+01:00
116,16.7,29,2022-01-09 04:20:02.936000+01:00
117,16.6,29,2022-01-09 04:36:19.594000+01:00
118,16.55,29,2022-01-09 04:52:36.400000+01:00
119,16.45,29,2022-01-09 05:08:53.252000+01:00
120,16.4,29,2022-01-09 05:25:10.243000+01:00
121,16.35,29,2022-01-09 05:41:27.589000+01:00
122,16.3,29,2022-01-09 05:57:45.220000+01:00
123,16.15,30,2022-01-09 06:14:03.098000+01:00
124,16.15,30,2022-01-09 06:30:21.430000+01:00
125,16.1,30,2022-01-09 06:46:39.427000+01:00
126,16.0,30,2022-01-09 07:02:57.383000+01:00
127,15.95,30,2022-01-09 07:19:16.114000+01:00
128,16.1,31,2022-01-09 07:35:34.523000+01:00
129,16.2,32,2022-01-09 07:51:52.508000+01:00
130,17.35,30,2022-01-09 08:08:08.447000+01:00
131,18.0,29,2022-01-09 08:24:21.933000+01:00
132,18.4,28,2022-01-09 08:40:33.798000+01:00
133,18.85,28,2022-01-09 08:56:44.291000+01:00
134,18.65,29,2022-01-09 09:12:54.254000+01:00
135,19.35,30,2022-01-09 09:29:04.202000+01:00
136,19.95,30,2022-01-09 09:45:11.989000+01:00
137,19.55,30,2022-01-09 10:01:19.372000+01:00
138,19.05,31,2022-01-09 10:17:28.379000+01:00
139,18.7,30,2022-01-09 10:33:38.589000+01:00
140,18.4,29,2022-01-09 10:49:49.744000+01:00
141,18.2,29,2022-01-09 11:06:01.699000+01:00
142,18.05,29,2022-01-09 11:22:14.107000+01:00
143,17.85,28,2022-01-09 11:38:26.704000+01:00
144,17.7,28,2022-01-09 11:54:39.937000+01:00
145,17.6,27,2022-01-09 12:10:53.510000+01:00
146,17.4,27,2022-01-09 12:27:07.304000+01:00
147,17.35,27,2022-01-09 12:43:21.335000+01:00
148,17.25,27,2022-01-09 12:59:35.920000+01:00
149,17.2,27,2022-01-09 13:15:50.794000+01:00
150,17.05,27,2022-01-09 13:32:05.940000+01:00
151,16.95,27,2022-01-09 13:48:21.415000+01:00
152,16.9,26,2022-01-09 14:04:36.979000+01:00
153,16.9,26,2022-01-09 14:20:52.943000+01:00
154,16.8,26,2022-01-09 14:37:09.004000+01:00
155,16.7,26,2022-01-09 14:53:25.480000+01:00
156,16.6,26,2022-01-09 15:09:41.853000+01:00
157,16.55,26,2022-01-09 15:25:58.487000+01:00
158,16.45,26,2022-01-09 15:42:15.673000+01:00
159,16.35,26,2022-01-09 15:58:32.742000+01:00
160,16.35,26,2022-01-09 16:14:49.743000+01:00
161,16.35,26,2022-01-09 16:31:07.096000+01:00
162,16.2,26,2022-01-09 16:47:24.720000+01:00
163,17.1,25,2022-01-09 17:03:41.761000+01:00
164,18.25,26,2022-01-09 17:19:55.364000+01:00
165,19.65,26,2022-01-09 17:36:04.351000+01:00
166,20.05,27,2022-01-09 17:52:11.908000+01:00
167,20.55,27,2022-01-09 18:08:18.043000+01:00
168,20.95,27,2022-01-09 18:24:22.529000+01:00
169,21.4,26,2022-01-09 18:40:25.831000+01:00
170,21.85,26,2022-01-09 18:56:28.003000+01:00
171,22.0,26,2022-01-09 19:12:29.340000+01:00
172,22.05,26,2022-01-09 19:28:30.194000+01:00
173,22.05,25,2022-01-09 19:44:31.036000+01:00
174,22.0,26,2022-01-09 20:00:31.738000+01:00
175,21.95,26,2022-01-09 20:16:32.799000+01:00
176,21.8,25,2022-01-09 20:32:34.124000+01:00
177,21.7,24,2022-01-09 20:48:35.779000+01:00
178,21.6,24,2022-01-09 21:04:38.346000+01:00
179,21.35,24,2022-01-09 21:20:39.677000+01:00
180,21.25,25,2022-01-09 21:36:42.372000+01:00
181,20.9,25,2022-01-09 21:52:45.609000+01:00
182,20.7,25,2022-01-09 22:08:49.735000+01:00
183,20.55,25,2022-01-09 22:24:54.418000+01:00
184,20.25,25,2022-01-09 22:40:59.641000+01:00
185,20.0,24,2022-01-09 22:57:05.489000+01:00
186,19.85,25,2022-01-09 23:13:12.386000+01:00
187,19.6,25,2022-01-09 23:29:20.905000+01:00
188,19.5,25,2022-01-09 23:45:26.481000+01:00
189,19.3,25,2022-01-10 00:01:34.611000+01:00
190,19.15,25,2022-01-10 00:17:43.321000+01:00
191,18.95,25,2022-01-10 00:33:52.358000+01:00
192,18.85,25,2022-01-10 00:50:01.944000+01:00
193,18.7,25,2022-01-10 01:06:11.839000+01:00
194,18.55,25,2022-01-10 01:22:22.740000+01:00
195,18.35,25,2022-01-10 01:38:33.292000+01:00
196,18.3,25,2022-01-10 01:54:44.418000+01:00
197,18.15,25,2022-01-10 02:10:56.016000+01:00
198,18.1,25,2022-01-10 02:27:08.055000+01:00
199,18.0,25,2022-01-10 02:43:20.584000+01:00
200,17.85,25,2022-01-10 02:59:33.325000+01:00
201,17.85,25,2022-01-10 03:15:45.811000+01:00
202,17.65,25,2022-01-10 03:31:58.746000+01:00
203,17.65,25,2022-01-10 03:48:12.030000+01:00
204,17.55,25,2022-01-10 04:04:25.397000+01:00
205,17.45,25,2022-01-10 04:20:39.140000+01:00
206,17.35,25,2022-01-10 04:36:53.207000+01:00
207,17.3,25,2022-01-10 04:53:07.356000+01:00
208,17.25,25,2022-01-10 05:09:21.656000+01:00
209,17.2,25,2022-01-10 05:25:36.044000+01:00
210,17.1,25,2022-01-10 05:41:50.441000+01:00
211,17.05,25,2022-01-10 05:58:05.317000+01:00
212,16.95,25,2022-01-10 06:14:20.660000+01:00
213,16.85,25,2022-01-10 06:30:36.420000+01:00
214,16.85,26,2022-01-10 06:46:51.951000+01:00
215,16.85,26,2022-01-10 07:03:07.545000+01:00
216,16.85,27,2022-01-10 07:19:23.159000+01:00
217,16.75,28,2022-01-10 07:35:39.018000+01:00
218,17.15,30,2022-01-10 07:51:54.516000+01:00
219,17.7,31,2022-01-10 08:08:08.644000+01:00
220,18.3,31,2022-01-10 08:24:22.043000+01:00
221,18.75,31,2022-01-10 08:40:31.264000+01:00
222,19.05,30,2022-01-10 08:56:41.376000+01:00
223,19.3,30,2022-01-10 09:12:49.080000+01:00
224,19.55,29,2022-01-10 09:28:57.040000+01:00
225,19.65,29,2022-01-10 09:45:04.651000+01:00
226,19.75,29,2022-01-10 10:01:12.018000+01:00
227,19.9,28,2022-01-10 10:17:18.953000+01:00
228,20.05,28,2022-01-10 10:33:25.294000+01:00
229,20.15,28,2022-01-10 10:49:31.347000+01:00
230,20.2,28,2022-01-10 11:05:37.076000+01:00
231,20.25,28,2022-01-10 11:21:42.684000+01:00
232,20.4,28,2022-01-10 11:37:48.289000+01:00
233,20.65,29,2022-01-10 11:53:53.233000+01:00
234,20.85,28,2022-01-10 12:09:57.713000+01:00
235,20.95,28,2022-01-10 12:26:02.338000+01:00
236,21.05,29,2022-01-10 12:42:05.027000+01:00
237,20.95,29,2022-01-10 12:58:08.741000+01:00
238,20.9,29,2022-01-10 13:14:12.648000+01:00
239,20.75,29,2022-01-10 13:30:16.900000+01:00
240,21.7,29,2022-01-10 13:46:20.482000+01:00
241,22.1,28,2022-01-10 14:02:20.944000+01:00
242,21.85,29,2022-01-10 14:18:21.920000+01:00
243,22.0,30,2022-01-10 14:34:22.801000+01:00
244,22.4,30,2022-01-10 14:50:23.008000+01:00
245,22.85,30,2022-01-10 15:06:22.137000+01:00
246,23.05,29,2022-01-10 15:22:20.535000+01:00
247,23.35,29,2022-01-10 15:38:17.887000+01:00
248,23.55,30,2022-01-10 15:54:14.705000+01:00
249,23.6,30,2022-01-10 16:10:11.303000+01:00
250,23.6,32,2022-01-10 16:26:07.715000+01:00
251,23.65,36,2022-01-10 16:42:04.269000+01:00
252,23.65,32,2022-01-10 16:58:00.557000+01:00
253,23.8,32,2022-01-10 17:13:56.769000+01:00
254,23.8,32,2022-01-10 17:29:52.572000+01:00
255,23.85,32,2022-01-10 17:45:48.559000+01:00
256,23.8,31,2022-01-10 18:01:44.193000+01:00
257,23.8,32,2022-01-10 18:17:40.160000+01:00
258,23.65,33,2022-01-10 18:33:36.400000+01:00
259,23.4,32,2022-01-10 18:49:33.078000+01:00
260,23.2,33,2022-01-10 19:05:30.360000+01:00
261,22.9,33,2022-01-10 19:21:28.282000+01:00
262,22.75,32,2022-01-10 19:37:26.886000+01:00
263,22.55,31,2022-01-10 19:53:26.034000+01:00
264,22.3,29,2022-01-10 20:09:25.657000+01:00
265,22.2,28,2022-01-10 20:25:25.619000+01:00
266,21.95,27,2022-01-10 20:41:26.418000+01:00
267,21.7,27,2022-01-10 20:57:27.992000+01:00
268,21.5,26,2022-01-10 21:13:30.317000+01:00
269,21.35,26,2022-01-10 21:29:32.979000+01:00
270,21.1,26,2022-01-10 21:45:36.156000+01:00
271,20.95,26,2022-01-10 22:01:39.899000+01:00
272,20.8,26,2022-01-10 22:17:45.453000+01:00
273,20.55,26,2022-01-10 22:33:49.002000+01:00
274,20.45,26,2022-01-10 22:49:54.751000+01:00
275,20.3,26,2022-01-10 23:05:59.962000+01:00
276,20.05,26,2022-01-10 23:22:06.012000+01:00
277,20.0,26,2022-01-10 23:38:12.642000+01:00
278,19.85,26,2022-01-10 23:54:19.606000+01:00
279,19.75,25,2022-01-11 00:10:26.844000+01:00
280,19.6,26,2022-01-11 00:26:35.903000+01:00
281,19.5,26,2022-01-11 00:42:44.239000+01:00
282,19.4,25,2022-01-11 00:58:51.465000+01:00
283,19.3,26,2022-01-11 01:15:00.756000+01:00
284,19.2,26,2022-01-11 01:31:08.727000+01:00
285,19.1,26,2022-01-11 01:47:19.640000+01:00
286,19.0,26,2022-01-11 02:03:28.930000+01:00
287,18.9,26,2022-01-11 02:19:36.889000+01:00
288,18.8,26,2022-01-11 02:35:47.270000+01:00
289,18.8,26,2022-01-11 02:51:57.295000+01:00
290,19.8,25,2022-01-11 03:08:05.199000+01:00
291,20.45,25,2022-01-11 03:24:11.696000+01:00
292,20.9,24,2022-01-11 03:40:16.330000+01:00
293,21.35,24,2022-01-11 03:56:19.843000+01:00
294,20.75,25,2022-01-11 04:12:25.024000+01:00
295,20.35,25,2022-01-11 04:28:29.116000+01:00
296,20.1,26,2022-01-11 04:44:35.689000+01:00
297,19.9,26,2022-01-11 05:00:41.957000+01:00
298,19.75,26,2022-01-11 05:16:49.144000+01:00
299,19.6,26,2022-01-11 05:32:56.762000+01:00
300,19.45,27,2022-01-11 05:49:04.809000+01:00
301,19.35,26,2022-01-11 06:05:13.036000+01:00
302,19.25,27,2022-01-11 06:21:21.601000+01:00
303,19.15,27,2022-01-11 06:37:30.729000+01:00
304,19.05,27,2022-01-11 06:53:39.649000+01:00
305,19.0,27,2022-01-11 07:09:48.733000+01:00
306,18.95,27,2022-01-11 07:25:58.076000+01:00
307,18.95,29,2022-01-11 07:42:07.674000+01:00
308,18.9,29,2022-01-11 07:58:17.213000+01:00
309,19.15,29,2022-01-11 08:14:26.695000+01:00
310,19.55,29,2022-01-11 08:30:35.102000+01:00
311,20.05,29,2022-01-11 08:46:42.186000+01:00
312,20.45,29,2022-01-11 09:02:48.106000+01:00
313,20.9,29,2022-01-11 09:18:52.501000+01:00
314,21.3,29,2022-01-11 09:34:55.548000+01:00
315,21.7,30,2022-01-11 09:50:57.625000+01:00
316,21.95,30,2022-01-11 10:06:58.810000+01:00
317,22.25,32,2022-01-11 10:22:59.577000+01:00
318,22.2,30,2022-01-11 10:38:59.801000+01:00
319,22.2,30,2022-01-11 10:54:59.940000+01:00
320,22.05,31,2022-01-11 11:11:00.163000+01:00
321,22.05,31,2022-01-11 11:27:00.310000+01:00
322,22.0,30,2022-01-11 11:43:00.833000+01:00
323,21.85,31,2022-01-11 11:59:01.487000+01:00
324,21.95,34,2022-01-11 12:15:02.098000+01:00
325,22.05,33,2022-01-11 12:31:02.418000+01:00
326,22.35,37,2022-01-11 12:47:02.292000+01:00
327,22.75,37,2022-01-11 13:03:01.561000+01:00
328,23.15,36,2022-01-11 13:18:59.712000+01:00
329,23.3,34,2022-01-11 13:34:56.972000+01:00
330,23.5,34,2022-01-11 13:50:53.921000+01:00
331,23.5,33,2022-01-11 14:06:50.743000+01:00
332,23.5,33,2022-01-11 14:22:47.969000+01:00
333,23.55,33,2022-01-11 14:38:44.305000+01:00
334,23.4,33,2022-01-11 14:54:41.183000+01:00
335,23.4,32,2022-01-11 15:10:38.230000+01:00
336,23.35,33,2022-01-11 15:26:35.336000+01:00
337,23.4,35,2022-01-11 15:42:32.200000+01:00
338,23.7,36,2022-01-11 15:58:28.538000+01:00
339,23.95,35,2022-01-11 16:14:24.247000+01:00
340,24.2,34,2022-01-11 16:30:19.015000+01:00
341,24.3,34,2022-01-11 16:46:13.201000+01:00
342,24.3,34,2022-01-11 17:02:07.266000+01:00
343,24.3,34,2022-01-11 17:18:01.066000+01:00
344,24.35,34,2022-01-11 17:33:54.997000+01:00
345,24.2,35,2022-01-11 17:49:49.222000+01:00
346,24.1,34,2022-01-11 18:05:44.061000+01:00
347,23.85,34,2022-01-11 18:21:39.333000+01:00
348,23.8,34,2022-01-11 18:37:34.933000+01:00
349,23.6,33,2022-01-11 18:53:30.976000+01:00
350,23.5,33,2022-01-11 19:09:27.482000+01:00
351,23.35,32,2022-01-11 19:25:24.490000+01:00
352,23.2,31,2022-01-11 19:41:21.994000+01:00
353,23.05,31,2022-01-11 19:57:19.735000+01:00
354,22.9,30,2022-01-11 20:13:17.761000+01:00
355,22.85,29,2022-01-11 20:29:16.082000+01:00
356,22.7,31,2022-01-11 20:45:14.888000+01:00
357,22.5,29,2022-01-11 21:01:14.738000+01:00
358,22.35,28,2022-01-11 21:17:13.748000+01:00
359,22.25,28,2022-01-11 21:33:13.844000+01:00
360,22.1,28,2022-01-11 21:49:14.826000+01:00
361,21.95,28,2022-01-11 22:05:14.668000+01:00
362,21.85,27,2022-01-11 22:21:15.711000+01:00
363,21.8,27,2022-01-11 22:37:17.019000+01:00
364,21.65,27,2022-01-11 22:53:18.652000+01:00
365,21.5,27,2022-01-11 23:09:20.616000+01:00
366,21.35,27,2022-01-11 23:25:22.995000+01:00
367,21.25,27,2022-01-11 23:41:25.743000+01:00
368,21.25,27,2022-01-11 23:57:28.694000+01:00
369,21.1,27,2022-01-12 00:13:31.930000+01:00
370,21.0,27,2022-01-12 00:29:35.491000+01:00
371,20.85,27,2022-01-12 00:45:40.105000+01:00
372,20.8,27,2022-01-12 01:01:43.417000+01:00
373,20.7,27,2022-01-12 01:17:47.515000+01:00
374,20.55,26,2022-01-12 01:33:52.080000+01:00
375,20.45,26,2022-01-12 01:49:57.007000+01:00
376,20.4,26,2022-01-12 02:06:02.575000+01:00
377,20.3,26,2022-01-12 02:22:09.324000+01:00
378,20.25,26,2022-01-12 02:38:13.730000+01:00
379,20.05,26,2022-01-12 02:54:20.764000+01:00
380,19.95,26,2022-01-12 03:10:27.744000+01:00
381,19.9,27,2022-01-12 03:26:34.423000+01:00
382,19.9,26,2022-01-12 03:42:40.773000+01:00
383,19.7,27,2022-01-12 03:58:45.801000+01:00
384,19.65,27,2022-01-12 04:14:54.409000+01:00
385,19.55,27,2022-01-12 04:31:01.613000+01:00
386,19.55,27,2022-01-12 04:47:09.304000+01:00
387,19.35,27,2022-01-12 05:03:17.158000+01:00
388,19.35,27,2022-01-12 05:19:25.148000+01:00
389,19.25,27,2022-01-12 05:35:31.635000+01:00
390,19.25,27,2022-01-12 05:51:41.964000+01:00
391,19.2,27,2022-01-12 06:07:48.904000+01:00
392,19.05,27,2022-01-12 06:23:57.621000+01:00
393,19.0,27,2022-01-12 06:40:06.672000+01:00
394,18.95,28,2022-01-12 06:56:15.982000+01:00
395,19.0,30,2022-01-12 07:12:24.815000+01:00
396,19.45,30,2022-01-12 07:28:33.308000+01:00
397,19.85,32,2022-01-12 07:44:40.475000+01:00
398,20.3,32,2022-01-12 08:00:46.273000+01:00
399,20.4,32,2022-01-12 08:16:51.499000+01:00
400,20.6,32,2022-01-12 08:32:55.922000+01:00
401,20.7,32,2022-01-12 08:49:00.190000+01:00
402,20.85,33,2022-01-12 09:05:04.156000+01:00
403,21.05,33,2022-01-12 09:21:07.887000+01:00
404,20.8,33,2022-01-12 09:37:11.479000+01:00
405,20.55,34,2022-01-12 09:53:15.988000+01:00
406,20.35,35,2022-01-12 10:09:21.093000+01:00
407,20.3,36,2022-01-12 10:25:26.532000+01:00
408,20.25,36,2022-01-12 10:41:32.305000+01:00
409,20.3,37,2022-01-12 10:57:38.148000+01:00
410,20.2,37,2022-01-12 11:13:44.027000+01:00
411,20.15,37,2022-01-12 11:29:50.039000+01:00
412,20.05,38,2022-01-12 11:45:56.208000+01:00
413,20.05,38,2022-01-12 12:02:02.572000+01:00
414,20.05,38,2022-01-12 12:18:09.066000+01:00
415,20.0,38,2022-01-12 12:34:15.536000+01:00
416,19.9,38,2022-01-12 12:50:22.156000+01:00
417,19.85,38,2022-01-12 13:06:28.822000+01:00
418,19.8,40,2022-01-12 13:22:35.823000+01:00
419,19.9,39,2022-01-12 13:38:42.866000+01:00
420,19.85,39,2022-01-12 13:54:49.892000+01:00
421,19.85,40,2022-01-12 14:10:57.027000+01:00
422,19.8,39,2022-01-12 14:27:04.139000+01:00
423,19.85,39,2022-01-12 14:43:11.024000+01:00
424,19.8,39,2022-01-12 14:59:17.970000+01:00
425,19.85,39,2022-01-12 15:15:25.222000+01:00
426,19.9,39,2022-01-12 15:31:32.357000+01:00
427,19.9,39,2022-01-12 15:47:39.234000+01:00
428,19.95,39,2022-01-12 16:03:46.060000+01:00
429,19.9,39,2022-01-12 16:19:52.952000+01:00
430,20.85,38,2022-01-12 16:35:58.733000+01:00
431,21.65,38,2022-01-12 16:52:01.875000+01:00
432,22.25,38,2022-01-12 17:08:03.029000+01:00
433,21.75,38,2022-01-12 17:24:04.067000+01:00
434,21.4,39,2022-01-12 17:40:06.113000+01:00
435,21.35,39,2022-01-12 17:56:08.802000+01:00
436,21.25,39,2022-01-12 18:12:11.466000+01:00
437,21.2,39,2022-01-12 18:28:14.399000+01:00
438,21.05,39,2022-01-12 18:44:17.390000+01:00
439,20.95,39,2022-01-12 19:00:20.678000+01:00
440,20.85,39,2022-01-12 19:16:24.367000+01:00
441,20.8,39,2022-01-12 19:32:28.205000+01:00
442,20.8,40,2022-01-12 19:48:32.082000+01:00
443,20.75,40,2022-01-12 20:04:36.083000+01:00
444,20.65,40,2022-01-12 20:20:40.290000+01:00
445,20.6,41,2022-01-12 20:36:44.774000+01:00
446,20.55,41,2022-01-12 20:52:49.606000+01:00
447,20.45,41,2022-01-12 21:08:54.510000+01:00
448,20.35,41,2022-01-12 21:24:59.579000+01:00
449,20.3,42,2022-01-12 21:41:05.071000+01:00
450,20.25,42,2022-01-12 21:57:10.541000+01:00
451,20.2,42,2022-01-12 22:13:16.253000+01:00
452,20.2,42,2022-01-12 22:29:21.858000+01:00
453,20.2,43,2022-01-12 22:45:27.557000+01:00
454,20.15,42,2022-01-12 23:01:33.478000+01:00
455,20.05,42,2022-01-12 23:17:39.446000+01:00
456,20.05,43,2022-01-12 23:33:45.766000+01:00
457,19.95,43,2022-01-12 23:49:52.224000+01:00
458,19.95,43,2022-01-13 00:05:58.987000+01:00
459,19.9,43,2022-01-13 00:22:05.450000+01:00
460,19.9,44,2022-01-13 00:38:12.036000+01:00
461,19.8,44,2022-01-13 00:54:18.874000+01:00
462,19.85,43,2022-01-13 01:10:25.736000+01:00
463,19.75,43,2022-01-13 01:26:32.685000+01:00
464,19.75,43,2022-01-13 01:42:39.798000+01:00
465,19.6,43,2022-01-13 01:58:46.995000+01:00
466,19.6,42,2022-01-13 02:14:54.344000+01:00
467,19.6,42,2022-01-13 02:31:01.924000+01:00
468,19.6,42,2022-01-13 02:47:09.506000+01:00
469,19.55,42,2022-01-13 03:03:17.162000+01:00
470,19.55,42,2022-01-13 03:19:24.926000+01:00
471,19.5,42,2022-01-13 03:35:32.782000+01:00
472,19.5,42,2022-01-13 03:51:41.235000+01:00
473,19.5,42,2022-01-13 04:07:48.963000+01:00
474,19.5,42,2022-01-13 04:23:56.887000+01:00
475,19.45,41,2022-01-13 04:40:04.639000+01:00
476,19.4,41,2022-01-13 04:56:12.696000+01:00
477,19.4,41,2022-01-13 05:12:20.692000+01:00
478,19.4,41,2022-01-13 05:28:28.621000+01:00
479,19.4,41,2022-01-13 05:44:36.718000+01:00
480,19.4,41,2022-01-13 06:00:44.939000+01:00
481,19.4,41,2022-01-13 06:16:53.160000+01:00
482,19.4,41,2022-01-13 06:33:01.188000+01:00
483,19.4,42,2022-01-13 06:49:09.157000+01:00
484,19.45,45,2022-01-13 07:05:16.897000+01:00
485,19.5,45,2022-01-13 07:21:24.392000+01:00
486,19.5,45,2022-01-13 07:37:31.944000+01:00
487,19.5,44,2022-01-13 07:53:39.511000+01:00
488,19.6,44,2022-01-13 08:09:46.929000+01:00
489,20.7,43,2022-01-13 08:25:52.675000+01:00
490,21.35,41,2022-01-13 08:41:56.111000+01:00
491,21.55,40,2022-01-13 08:57:57.847000+01:00
492,21.25,40,2022-01-13 09:14:00.107000+01:00
493,21.05,40,2022-01-13 09:30:03.200000+01:00
494,20.95,40,2022-01-13 09:46:06.679000+01:00
495,20.85,40,2022-01-13 10:02:10.416000+01:00
496,20.8,40,2022-01-13 10:18:14.345000+01:00
