,2LivingRoomCenter,timestamp
155,17.75,2022-01-08 11:22:41.373000+01:00
156,17.7,2022-01-08 11:27:53.133000+01:00
157,17.6,2022-01-08 11:33:50.908000+01:00
158,17.55,2022-01-08 11:39:02.835000+01:00
159,17.5,2022-01-08 11:45:00.750000+01:00
160,17.55,2022-01-08 11:50:12.772000+01:00
161,17.4,2022-01-08 11:56:10.797000+01:00
162,17.4,2022-01-08 12:01:22.916000+01:00
163,17.4,2022-01-08 12:07:21.034000+01:00
164,17.3,2022-01-08 12:12:33.270000+01:00
165,17.25,2022-01-08 12:18:31.471000+01:00
166,17.25,2022-01-08 12:23:43.717000+01:00
167,17.3,2022-01-08 12:29:41.976000+01:00
168,17.3,2022-01-08 12:34:54.289000+01:00
169,17.15,2022-01-08 12:40:52.530000+01:00
170,17.25,2022-01-08 12:46:04.797000+01:00
171,17.2,2022-01-08 12:52:03.144000+01:00
172,17.2,2022-01-08 12:57:15.492000+01:00
173,17.05,2022-01-08 13:03:13.953000+01:00
174,17.0,2022-01-08 13:08:26.405000+01:00
175,17.0,2022-01-08 13:14:24.989000+01:00
176,17.1,2022-01-08 13:19:37.552000+01:00
177,17.1,2022-01-08 13:25:36.184000+01:00
178,16.95,2022-01-08 13:30:48.822000+01:00
179,16.95,2022-01-08 13:36:47.514000+01:00
180,17.0,2022-01-08 13:42:00.081000+01:00
181,17.0,2022-01-08 13:47:58.710000+01:00
182,16.85,2022-01-08 13:53:11.311000+01:00
183,16.9,2022-01-08 13:59:10.020000+01:00
184,16.9,2022-01-08 14:04:22.724000+01:00
185,16.9,2022-01-08 14:10:21.574000+01:00
186,16.95,2022-01-08 14:15:34.347000+01:00
187,17.5,2022-01-08 14:21:32.606000+01:00
188,17.9,2022-01-08 14:26:44.468000+01:00
189,18.25,2022-01-08 14:32:41.741000+01:00
190,18.5,2022-01-08 14:37:52.722000+01:00
191,19.0,2022-01-08 14:43:49.149000+01:00
192,19.1,2022-01-08 14:48:59.465000+01:00
193,19.5,2022-01-08 14:54:55.073000+01:00
194,19.6,2022-01-08 15:00:50.479000+01:00
195,19.75,2022-01-08 15:05:59.924000+01:00
196,19.7,2022-01-08 15:11:55.009000+01:00
197,19.5,2022-01-08 15:17:50.399000+01:00
198,19.5,2022-01-08 15:23:00.144000+01:00
199,19.6,2022-01-08 15:28:55.511000+01:00
200,19.7,2022-01-08 15:34:05.271000+01:00
201,19.6,2022-01-08 15:40:00.582000+01:00
202,19.7,2022-01-08 15:45:10.317000+01:00
203,19.55,2022-01-08 15:51:05.600000+01:00
204,19.75,2022-01-08 15:56:15.240000+01:00
205,19.8,2022-01-08 16:02:10.416000+01:00
206,19.85,2022-01-08 16:08:05.571000+01:00
207,19.85,2022-01-08 16:14:00.547000+01:00
208,20.1,2022-01-08 16:19:55.508000+01:00
209,20.0,2022-01-08 16:25:50.346000+01:00
210,20.15,2022-01-08 16:31:45.114000+01:00
211,20.3,2022-01-08 16:37:39.715000+01:00
212,20.4,2022-01-08 16:43:34.164000+01:00
213,20.45,2022-01-08 16:49:28.403000+01:00
214,20.55,2022-01-08 16:55:22.691000+01:00
215,20.6,2022-01-08 17:01:16.850000+01:00
216,20.7,2022-01-08 17:07:10.960000+01:00
217,20.7,2022-01-08 17:13:04.967000+01:00
218,20.65,2022-01-08 17:18:58.977000+01:00
219,20.85,2022-01-08 17:24:52.953000+01:00
220,20.6,2022-01-08 17:30:47+01:00
221,20.65,2022-01-08 17:36:41.044000+01:00
222,20.65,2022-01-08 17:42:34.980000+01:00
223,20.7,2022-01-08 17:48:28.802000+01:00
224,20.8,2022-01-08 17:54:22.589000+01:00
225,20.85,2022-01-08 18:00:16.322000+01:00
226,20.85,2022-01-08 18:06:09.963000+01:00
227,20.8,2022-01-08 18:12:03.633000+01:00
228,20.8,2022-01-08 18:17:57.367000+01:00
229,20.75,2022-01-08 18:23:51.255000+01:00
230,20.6,2022-01-08 18:29:45.222000+01:00
231,20.6,2022-01-08 18:35:39.323000+01:00
232,20.55,2022-01-08 18:41:33.425000+01:00
233,20.6,2022-01-08 18:47:27.532000+01:00
234,20.75,2022-01-08 18:53:21.532000+01:00
235,20.75,2022-01-08 18:59:15.479000+01:00
236,20.8,2022-01-08 19:05:09.342000+01:00
237,20.85,2022-01-08 19:11:03.085000+01:00
238,20.9,2022-01-08 19:16:56.759000+01:00
239,20.9,2022-01-08 19:22:50.343000+01:00
240,21.05,2022-01-08 19:28:43.877000+01:00
241,20.95,2022-01-08 19:34:37.348000+01:00
242,20.95,2022-01-08 19:40:30.847000+01:00
243,21.0,2022-01-08 19:46:24.342000+01:00
244,20.9,2022-01-08 19:52:17.980000+01:00
245,20.9,2022-01-08 19:58:11.636000+01:00
246,20.85,2022-01-08 20:04:05.410000+01:00
247,20.7,2022-01-08 20:09:59.271000+01:00
248,20.7,2022-01-08 20:15:53.198000+01:00
249,20.7,2022-01-08 20:21:47.123000+01:00
250,20.55,2022-01-08 20:27:41.148000+01:00
251,20.5,2022-01-08 20:33:35.204000+01:00
252,20.4,2022-01-08 20:39:29.307000+01:00
253,20.45,2022-01-08 20:45:23.584000+01:00
254,20.3,2022-01-08 20:51:17.953000+01:00
255,20.1,2022-01-08 20:57:12.464000+01:00
256,19.95,2022-01-08 21:03:07.093000+01:00
257,19.95,2022-01-08 21:09:01.898000+01:00
258,19.75,2022-01-08 21:14:56.858000+01:00
259,19.7,2022-01-08 21:20:52.060000+01:00
260,19.55,2022-01-08 21:26:01.713000+01:00
261,19.6,2022-01-08 21:31:57.072000+01:00
262,19.55,2022-01-08 21:37:06.836000+01:00
263,19.45,2022-01-08 21:43:02.245000+01:00
264,19.45,2022-01-08 21:48:58.057000+01:00
265,19.15,2022-01-08 21:54:08.207000+01:00
266,19.15,2022-01-08 22:00:04.191000+01:00
267,19.0,2022-01-08 22:05:14.612000+01:00
268,18.9,2022-01-08 22:11:10.834000+01:00
269,18.9,2022-01-08 22:16:21.439000+01:00
270,18.75,2022-01-08 22:22:17.851000+01:00
271,18.75,2022-01-08 22:27:28.582000+01:00
272,18.7,2022-01-08 22:33:25.121000+01:00
273,18.55,2022-01-08 22:38:35.989000+01:00
274,18.6,2022-01-08 22:44:32.667000+01:00
275,18.5,2022-01-08 22:49:43.562000+01:00
276,18.45,2022-01-08 22:55:40.295000+01:00
277,18.5,2022-01-08 23:00:51.241000+01:00
278,18.45,2022-01-08 23:06:48.027000+01:00
279,18.5,2022-01-08 23:11:59.050000+01:00
280,18.3,2022-01-08 23:17:55.881000+01:00
281,18.35,2022-01-08 23:23:06.979000+01:00
282,18.35,2022-01-08 23:29:03.876000+01:00
283,18.25,2022-01-08 23:34:15.341000+01:00
284,18.2,2022-01-08 23:40:12.743000+01:00
285,18.2,2022-01-08 23:45:24.289000+01:00
286,18.25,2022-01-08 23:51:21.844000+01:00
287,18.15,2022-01-08 23:56:33.475000+01:00
288,18.1,2022-01-09 00:02:31.071000+01:00
289,18.1,2022-01-09 00:07:42.842000+01:00
290,18.05,2022-01-09 00:13:40.590000+01:00
291,18.0,2022-01-09 00:18:52.461000+01:00
292,17.95,2022-01-09 00:24:50.299000+01:00
293,17.85,2022-01-09 00:30:02.230000+01:00
294,17.85,2022-01-09 00:36:00.149000+01:00
295,17.9,2022-01-09 00:41:12.181000+01:00
296,17.75,2022-01-09 00:47:10.169000+01:00
297,17.7,2022-01-09 00:52:22.273000+01:00
298,17.65,2022-01-09 00:58:20.357000+01:00
299,17.65,2022-01-09 01:03:32.553000+01:00
300,17.5,2022-01-09 01:09:30.809000+01:00
301,17.45,2022-01-09 01:14:43.118000+01:00
302,17.45,2022-01-09 01:20:41.505000+01:00
303,17.45,2022-01-09 01:25:53.962000+01:00
304,17.35,2022-01-09 01:31:52.472000+01:00
305,17.3,2022-01-09 01:37:05.014000+01:00
306,17.2,2022-01-09 01:43:03.651000+01:00
307,17.15,2022-01-09 01:48:16.260000+01:00
308,17.1,2022-01-09 01:54:14.947000+01:00
309,17.15,2022-01-09 01:59:27.623000+01:00
310,17.05,2022-01-09 02:05:26.291000+01:00
311,17.0,2022-01-09 02:10:38.903000+01:00
312,17.1,2022-01-09 02:15:51.739000+01:00
313,17.0,2022-01-09 02:21:50.592000+01:00
314,17.05,2022-01-09 02:27:03.479000+01:00
315,17.0,2022-01-09 02:33:02.364000+01:00
316,16.85,2022-01-09 02:38:15.203000+01:00
317,16.85,2022-01-09 02:44:14.174000+01:00
318,16.75,2022-01-09 02:49:27.110000+01:00
319,16.75,2022-01-09 02:55:26.174000+01:00
320,16.7,2022-01-09 03:00:39.219000+01:00
321,16.8,2022-01-09 03:06:38.363000+01:00
322,16.7,2022-01-09 03:11:51.416000+01:00
323,16.75,2022-01-09 03:17:50.644000+01:00
324,16.65,2022-01-09 03:23:03.801000+01:00
325,16.6,2022-01-09 03:28:17.086000+01:00
326,16.4,2022-01-09 03:33:30.466000+01:00
327,16.5,2022-01-09 03:39:29.919000+01:00
328,16.5,2022-01-09 03:44:43.171000+01:00
329,16.5,2022-01-09 03:49:56.504000+01:00
330,16.5,2022-01-09 03:55:09.882000+01:00
331,16.35,2022-01-09 04:00:23.353000+01:00
332,16.45,2022-01-09 04:05:36.905000+01:00
333,16.4,2022-01-09 04:11:36.576000+01:00
334,16.35,2022-01-09 04:16:49.990000+01:00
335,16.3,2022-01-09 04:22:03.599000+01:00
336,16.3,2022-01-09 04:28:03.286000+01:00
337,16.35,2022-01-09 04:33:16.759000+01:00
338,16.3,2022-01-09 04:38:30.420000+01:00
339,16.35,2022-01-09 04:44:30.191000+01:00
340,16.2,2022-01-09 04:49:43.743000+01:00
341,16.25,2022-01-09 04:54:57.487000+01:00
342,16.1,2022-01-09 05:00:57.362000+01:00
343,16.15,2022-01-09 05:06:11.013000+01:00
344,16.15,2022-01-09 05:11:24.723000+01:00
345,16.1,2022-01-09 05:16:38.542000+01:00
346,16.1,2022-01-09 05:21:52.410000+01:00
347,16.05,2022-01-09 05:27:06.237000+01:00
348,15.9,2022-01-09 05:32:20.052000+01:00
349,16.0,2022-01-09 05:37:33.987000+01:00
350,16.0,2022-01-09 05:43:34.108000+01:00
351,15.85,2022-01-09 05:48:47.992000+01:00
352,16.05,2022-01-09 05:54:01.882000+01:00
353,15.9,2022-01-09 05:59:15.697000+01:00
354,15.95,2022-01-09 06:04:29.490000+01:00
355,15.95,2022-01-09 06:09:43.376000+01:00
356,15.9,2022-01-09 06:14:57.275000+01:00
357,15.7,2022-01-09 06:20:11.249000+01:00
358,15.7,2022-01-09 06:25:25.242000+01:00
359,15.7,2022-01-09 06:30:39.199000+01:00
360,15.85,2022-01-09 06:35:53.262000+01:00
361,15.7,2022-01-09 06:41:53.518000+01:00
362,15.8,2022-01-09 06:47:07.512000+01:00
363,15.8,2022-01-09 06:52:21.621000+01:00
364,15.65,2022-01-09 06:57:35.688000+01:00
365,15.6,2022-01-09 07:02:49.831000+01:00
366,15.75,2022-01-09 07:08:03.994000+01:00
367,15.8,2022-01-09 07:13:18.156000+01:00
368,15.7,2022-01-09 07:18:32.330000+01:00
369,15.8,2022-01-09 07:23:46.478000+01:00
370,15.7,2022-01-09 07:29:00.440000+01:00
371,15.85,2022-01-09 07:34:14.361000+01:00
372,16.0,2022-01-09 07:39:28.267000+01:00
373,15.9,2022-01-09 07:44:42.199000+01:00
374,16.0,2022-01-09 07:50:42.226000+01:00
375,16.5,2022-01-09 07:55:55.709000+01:00
376,16.8,2022-01-09 08:01:54.878000+01:00
377,17.15,2022-01-09 08:07:07.541000+01:00
378,17.4,2022-01-09 08:13:05.883000+01:00
379,17.7,2022-01-09 08:18:18.006000+01:00
380,17.9,2022-01-09 08:24:15.816000+01:00
381,18.0,2022-01-09 08:29:27.519000+01:00
382,18.35,2022-01-09 08:35:24.839000+01:00
383,18.45,2022-01-09 08:40:36.036000+01:00
384,18.75,2022-01-09 08:46:32.840000+01:00
385,19.0,2022-01-09 08:51:43.621000+01:00
386,19.2,2022-01-09 08:57:39.977000+01:00
387,19.2,2022-01-09 09:02:50.316000+01:00
388,19.1,2022-01-09 09:08:46.426000+01:00
389,19.0,2022-01-09 09:13:57.027000+01:00
390,19.1,2022-01-09 09:19:53.381000+01:00
391,19.35,2022-01-09 09:25:03.692000+01:00
392,19.6,2022-01-09 09:30:59.402000+01:00
393,19.9,2022-01-09 09:36:09.158000+01:00
394,20.05,2022-01-09 09:42:04.216000+01:00
395,20.2,2022-01-09 09:47:59.172000+01:00
396,20.05,2022-01-09 09:53:54.084000+01:00
397,19.9,2022-01-09 09:59:03.545000+01:00
398,19.75,2022-01-09 10:04:58.881000+01:00
399,19.6,2022-01-09 10:10:08.791000+01:00
400,19.45,2022-01-09 10:16:04.549000+01:00
401,19.3,2022-01-09 10:21:14.780000+01:00
402,19.0,2022-01-09 10:27:10.930000+01:00
403,18.8,2022-01-09 10:32:21.601000+01:00
404,18.75,2022-01-09 10:38:18.168000+01:00
405,18.65,2022-01-09 10:43:29.142000+01:00
406,18.6,2022-01-09 10:49:26.023000+01:00
407,18.25,2022-01-09 10:54:37.321000+01:00
408,18.3,2022-01-09 11:00:34.560000+01:00
409,18.15,2022-01-09 11:05:46.038000+01:00
410,17.95,2022-01-09 11:11:43.494000+01:00
411,18.05,2022-01-09 11:16:55.165000+01:00
412,17.8,2022-01-09 11:22:52.803000+01:00
413,17.8,2022-01-09 11:28:04.648000+01:00
414,17.7,2022-01-09 11:34:02.569000+01:00
415,17.6,2022-01-09 11:39:14.627000+01:00
416,17.45,2022-01-09 11:45:12.790000+01:00
417,17.5,2022-01-09 11:50:25.028000+01:00
418,17.4,2022-01-09 11:56:23.246000+01:00
419,17.45,2022-01-09 12:01:35.527000+01:00
420,17.4,2022-01-09 12:07:33.855000+01:00
421,17.35,2022-01-09 12:12:46.260000+01:00
422,17.05,2022-01-09 12:18:44.623000+01:00
423,17.2,2022-01-09 12:23:57.111000+01:00
424,17.2,2022-01-09 12:29:55.551000+01:00
425,17.05,2022-01-09 12:35:08.107000+01:00
426,17.1,2022-01-09 12:41:06.719000+01:00
427,17.15,2022-01-09 12:46:19.374000+01:00
428,17.0,2022-01-09 12:52:18.098000+01:00
429,17.05,2022-01-09 12:57:30.900000+01:00
430,17.0,2022-01-09 13:03:29.752000+01:00
431,16.9,2022-01-09 13:08:42.554000+01:00
432,16.95,2022-01-09 13:14:41.462000+01:00
433,16.85,2022-01-09 13:19:54.323000+01:00
434,16.8,2022-01-09 13:25:53.288000+01:00
435,16.75,2022-01-09 13:31:06.169000+01:00
436,16.7,2022-01-09 13:37:05.220000+01:00
437,16.75,2022-01-09 13:42:18.179000+01:00
438,16.7,2022-01-09 13:48:17.209000+01:00
439,16.8,2022-01-09 13:53:30.168000+01:00
440,16.75,2022-01-09 13:59:29.254000+01:00
441,16.6,2022-01-09 14:04:42.310000+01:00
442,16.55,2022-01-09 14:10:41.492000+01:00
443,16.6,2022-01-09 14:15:54.626000+01:00
444,16.65,2022-01-09 14:21:53.878000+01:00
445,16.5,2022-01-09 14:27:07.025000+01:00
446,16.5,2022-01-09 14:32:20.359000+01:00
447,16.35,2022-01-09 14:38:19.723000+01:00
448,16.5,2022-01-09 14:43:33.009000+01:00
449,16.55,2022-01-09 14:49:32.460000+01:00
450,16.35,2022-01-09 14:54:45.786000+01:00
451,16.3,2022-01-09 14:59:59.246000+01:00
452,16.35,2022-01-09 15:05:58.788000+01:00
453,16.4,2022-01-09 15:11:12.192000+01:00
454,16.4,2022-01-09 15:16:25.724000+01:00
455,16.4,2022-01-09 15:22:25.330000+01:00
456,16.4,2022-01-09 15:27:38.806000+01:00
457,16.35,2022-01-09 15:33:38.416000+01:00
458,16.25,2022-01-09 15:38:51.913000+01:00
459,16.25,2022-01-09 15:44:51.602000+01:00
460,16.05,2022-01-09 15:50:05.162000+01:00
461,16.2,2022-01-09 15:56:04.886000+01:00
462,16.25,2022-01-09 16:01:18.431000+01:00
463,16.0,2022-01-09 16:06:32.087000+01:00
464,15.95,2022-01-09 16:11:45.848000+01:00
465,15.9,2022-01-09 16:17:45.685000+01:00
466,16.15,2022-01-09 16:22:59.256000+01:00
467,15.95,2022-01-09 16:28:12.991000+01:00
468,16.0,2022-01-09 16:33:26.743000+01:00
469,16.1,2022-01-09 16:39:26.571000+01:00
470,15.9,2022-01-09 16:44:40.239000+01:00
471,15.95,2022-01-09 16:49:54.021000+01:00
472,16.3,2022-01-09 16:55:07.809000+01:00
473,16.95,2022-01-09 17:01:07.074000+01:00
474,17.3,2022-01-09 17:06:19.738000+01:00
475,17.85,2022-01-09 17:12:17.744000+01:00
476,18.3,2022-01-09 17:17:29.205000+01:00
477,19.15,2022-01-09 17:23:25.702000+01:00
478,19.7,2022-01-09 17:28:35.706000+01:00
479,20.35,2022-01-09 17:34:30.318000+01:00
480,20.75,2022-01-09 17:40:24.501000+01:00
481,21.15,2022-01-09 17:46:18.222000+01:00
482,21.55,2022-01-09 17:52:11.418000+01:00
483,21.9,2022-01-09 17:58:04.170000+01:00
484,22.2,2022-01-09 18:03:56.529000+01:00
485,22.5,2022-01-09 18:09:48.636000+01:00
486,22.7,2022-01-09 18:15:40.521000+01:00
487,22.75,2022-01-09 18:21:32.213000+01:00
488,22.95,2022-01-09 18:27:23.698000+01:00
489,23.2,2022-01-09 18:33:14.920000+01:00
490,23.3,2022-01-09 18:39:05.918000+01:00
491,23.45,2022-01-09 18:44:56.721000+01:00
492,23.7,2022-01-09 18:50:47.364000+01:00
493,23.75,2022-01-09 18:56:37.844000+01:00
494,23.85,2022-01-09 19:02:28.233000+01:00
495,23.75,2022-01-09 19:08:18.531000+01:00
496,23.7,2022-01-09 19:14:08.929000+01:00
497,23.65,2022-01-09 19:19:59.345000+01:00
498,23.7,2022-01-09 19:25:49.887000+01:00
499,23.45,2022-01-09 19:31:40.576000+01:00
500,23.4,2022-01-09 19:37:31.361000+01:00
501,23.35,2022-01-09 19:43:22.260000+01:00
502,23.15,2022-01-09 19:49:13.289000+01:00
503,23.05,2022-01-09 19:55:04.508000+01:00
504,23.0,2022-01-09 20:00:55.927000+01:00
505,22.8,2022-01-09 20:06:47.451000+01:00
506,22.65,2022-01-09 20:12:39.195000+01:00
507,22.45,2022-01-09 20:18:31.123000+01:00
508,22.45,2022-01-09 20:24:23.189000+01:00
509,22.4,2022-01-09 20:30:15.335000+01:00
510,22.2,2022-01-09 20:36:07.608000+01:00
511,22.1,2022-01-09 20:42:00.020000+01:00
512,22.05,2022-01-09 20:47:52.592000+01:00
513,22.05,2022-01-09 20:53:45.355000+01:00
514,21.8,2022-01-09 20:59:38.244000+01:00
515,21.7,2022-01-09 21:05:31.218000+01:00
516,21.6,2022-01-09 21:11:24.412000+01:00
517,21.4,2022-01-09 21:17:17.697000+01:00
518,21.3,2022-01-09 21:23:11.084000+01:00
519,21.2,2022-01-09 21:29:04.594000+01:00
520,21.05,2022-01-09 21:34:58.266000+01:00
521,21.0,2022-01-09 21:40:52.142000+01:00
522,20.85,2022-01-09 21:46:46.117000+01:00
523,20.8,2022-01-09 21:52:40.263000+01:00
524,20.55,2022-01-09 21:58:34.552000+01:00
525,20.5,2022-01-09 22:04:28.993000+01:00
526,20.4,2022-01-09 22:10:23.613000+01:00
527,20.25,2022-01-09 22:16:18.354000+01:00
528,20.15,2022-01-09 22:22:13.211000+01:00
529,20.05,2022-01-09 22:28:08.205000+01:00
530,20.0,2022-01-09 22:34:03.328000+01:00
531,19.85,2022-01-09 22:39:58.596000+01:00
532,19.75,2022-01-09 22:45:08.317000+01:00
533,19.65,2022-01-09 22:51:03.762000+01:00
534,19.65,2022-01-09 22:56:13.674000+01:00
535,19.7,2022-01-09 23:02:09.310000+01:00
536,19.5,2022-01-09 23:07:19.393000+01:00
